PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
2,1,1,1,38,1,0,71
3,1,3,1,26,0,0,7
4,1,1,1,35,1,0,53
5,0,3,0,35,0,0,8
6,0,3,0,30,0,0,8
7,0,1,0,54,0,0,51
8,0,3,0,2,3,1,21
9,1,3,1,27,0,2,11
10,1,2,1,14,1,0,30
11,1,3,1,4,1,1,16
12,1,1,1,58,0,0,26
13,0,3,0,20,0,0,8
14,0,3,0,39,1,5,31
15,0,3,1,14,0,0,7
16,1,2,1,55,0,0,16
17,0,3,0,2,4,1,29
18,1,2,0,30,0,0,13
19,0,3,1,31,1,0,18
20,1,3,1,30,0,0,7
21,0,2,0,35,0,0,26
22,1,2,0,34,0,0,13
23,1,3,1,15,0,0,8
24,1,1,0,28,0,0,35
25,0,3,1,8,3,1,21
26,1,3,1,38,1,5,31
27,0,3,0,30,0,0,7
28,0,1,0,19,3,2,263
29,1,3,1,30,0,0,7
30,0,3,0,30,0,0,7
31,0,1,0,40,0,0,27
32,1,1,1,30,1,0,146
33,1,3,1,30,0,0,7
34,0,2,0,66,0,0,10
35,0,1,0,28,1,0,82
36,0,1,0,42,1,0,52
37,1,3,0,30,0,0,7
38,0,3,0,21,0,0,8
39,0,3,1,18,2,0,18
40,1,3,1,14,1,0,11
41,0,3,1,40,1,0,9
42,0,2,1,27,1,0,21
43,0,3,0,30,0,0,7
44,1,2,1,3,1,2,41
45,1,3,1,19,0,0,7
46,0,3,0,30,0,0,8
47,0,3,0,30,1,0,15
48,1,3,1,30,0,0,7
49,0,3,0,30,2,0,21
50,0,3,1,18,1,0,17
51,0,3,0,7,4,1,39
52,0,3,0,21,0,0,7
53,1,1,1,49,1,0,76
54,1,2,1,29,1,0,26
55,0,1,0,65,0,1,61
56,1,1,0,30,0,0,35
57,1,2,1,21,0,0,10
58,0,3,0,28,0,0,7
59,1,2,1,5,1,2,27
60,0,3,0,11,5,2,46
61,0,3,0,22,0,0,7
62,1,1,1,38,0,0,80
63,0,1,0,45,1,0,83
64,0,3,0,4,3,2,27
65,0,1,0,30,0,0,27
66,1,3,0,30,1,1,15
67,1,2,1,29,0,0,10
68,0,3,0,19,0,0,8
69,1,3,1,17,4,2,7
70,0,3,0,26,2,0,8
71,0,2,0,32,0,0,10
72,0,3,1,16,5,2,46
73,0,2,0,21,0,0,73
74,0,3,0,26,1,0,14
75,1,3,0,32,0,0,56
76,0,3,0,25,0,0,7
77,0,3,0,30,0,0,7
